Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Mucinex DM;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dextomethophan/Guaifenesin;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Chlorpheniramine;injectable solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Cyproheptadin;Syrup available;Dissolve slowly;10;5;20;Dissolve slowly;10;5;20;;;;;;;;;;
Guaifensin;Liquid Available;Data not available;;;;Data not available;;;;;;;;;;;;;
Imodium;No;Use liquid. dilute with 3x volume;-;-;-;Use liquid. dilute with 3x volume;-;-;-;;;;;;;;;;
Loperamide;No;Use liquid. dilute with 3x volume;-;-;-;Use liquid. dilute with 3x volume;-;-;-;;;;;;;;;;
Abacavir;Liquid Available;Thick brown coating that is very hard to crush. But has lower osmolality than solution;10ml;1 minutes;20ml;Thick brown coating that is very hard to crush. But has lower osmolality than solution;10ml;1 minutes;20 ml;;;;;;;;;;
Acarbose;;Poorly soluble, requires extra rinsing as ppt quickly;20ml;10 mins;30ml;Poorly soluble, requires extra rinsing as ppt quickly;20ml;10 mins;30 ml;;;;;;;;;;
Acetazolamide;No;Tablet crushes easily, poorly dissolves. Extra rinse;10ml;2 mins;30ml;Tablet crushes easily, poorly dissolves. Extra rinse;10ml;2 mins;30 mol;;;;;;;;;;
Amantadine;Syrup available;Syrup is thick, open powder filled capsules;10ml;10;20;Syrup is thick, open powder filled capsules;10;10;20;;;;;;;;;;
Aminocaproic Acid;Syrup available;Use syrup;-;-;-;Use Syrup;-;-;-;;;;;;;;;;
Amitriptyline;No;Dissolves quicky, but oot out quickly;10;1;20;Dissolves quicky, but oot out quickly;10;1;20;;;;;;;;;;
Ampicillin;Suspension available ;Capsule forms clumps, use suspension;-;-;-;Capsule forms clumps, use suspension;-;-;-;;;;;;;;;;
Anagrelide;No;Dissolve quicky;10;1;10;Dissolve quicky;10;1;10;;;;;;;;;;
Azathioprine;No;Some Generics dissolve slowly;10;20;20;Some Generics dissolve slowly;10;20;20;;;;;;;;;;
Benztropine;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Bethanechol;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Bexarotene;No;Contains co-precipitate, mix in syringe and extra rinse ;15;20;30;Contains co-precipitate, mix in syringe and extra rinse ;15;20;30;;;;;;;;;;
Bromocriptine;No;Contains co-precipitate, mix in syringe and extra rinse ;10;2;10;Contains co-precipitate, mix in syringe and extra rinse ;10;2;10;;;;;;;;;;
Calcium Acetate;No;Open capsule, contents dissolve quickly;15;1;20;Open capsule, contents dissolve quickly;15;1;20;;;;;;;;;;
Calcium Carbonate (Oyster shell);No;Not for FT;-;-;-;Not for FT;-;-;-;;;;;;;;;;
Calcium Carbonate (Tums);Suspension available ;Not for FT;-;-;-;Not for FT;-;-;-;;;;;;;;;;
Candesartan;No;Dissolve quicky;10;2;10;Dissolve quicky;10;2;10;;;;;;;;;;
Captopril;No;Dissolve quicky;10;1;20;Dissolve quicky;10;1;20;;;;;;;;;;
Zonisamide;No;"difficult to open, does not
completely dissolve";10;1;20;"difficult to open, does not
completely dissolve";10;1;20;;;;;;;;;;
Zidovudine;Syrup is available;Syrup is too thick. Capsule dissolves quickly;10;1;10;Syrup is too thick. Capsule dssolve quickly;10;1;10;;;;;;;;;;
Voriconazole;Suspension available;Use suspensison;-;-;-;Use suspension ;- ;-;-;;;;;;;;;;
Adult Multivitamin;Liquid available;Use liquid;-;-;-;Use Liquid;- ;-;-;;;;;;;;;;
Children Multivitamin ;Liquid available;Use liquid drop;20;3;10;Not for Jejunal Feeding tube;- ;-;-;;;;;;;;;;
Vitamin E;Liquid available;Use liquid;-;-;-;use liquid;- ;-;-;;;;;;;;;;
Vitamin B comple with Zinc;No;Does not dissolve well. Require extra rinse ;20;5;30;Does not dissolve well. Require extra rinse ;20;5;30;;;;;;;;;;
Verapamil ;Injectable available;Dissolve quickly;10;1;20;Dissolve quickly;10;1;20;;;;;;;;;;
Calan;Injectable available;Dissolve quickly ;10;1;20;Dissolve quickly;10;1;20;;;;;;;;;;
Varenicline;No;Dissolve quickly ;10;1;20;Dissolve quickly ;10;1;20;;;;;;;;;;
Vancomycin ;Suspension available;Use suspensison;-;-;-;Use suspensison;-;-;-;;;;;;;;;;
Ursodiol;No;Poorly soluble, requires extra rinsing as ppt quickly;10;2;30;Poorly soluble, requires extra rinsing as ppt quickly;10;2;3;;;;;;;;;;
Ursodiol;No;Poorly soluble, requires extra rinsing as ppt quickly;20;1;30;Poorly soluble, requires extra rinsing as ppt quickly;20;1;30;;;;;;;;;;
Triprolidine and Pseudoephrine;No;Dissolves quickly;10;2;10;Dissolves quickly;10;2;10;;;;;;;;;;
triamterene;No;Dissolves quickly, need extra rinse;10;1;30;Dissolve quickly need extra rinse;10;1;30;;;;;;;;;;
Tolvaptan;No;Dissolves quickly, need extra rinse;10;1;20;Dissolves quickly, need extra rinse;10;1;20;;;;;;;;;;
Thyroid;No;Dissolve quickly;10;3;10;Dissolves quickly ;10;3;10;;;;;;;;;;
Thioridazine;No;Dissolves quickly, need extra rinse;10;3;10;Dissolves quickly, need extra rinse;10;3;10;;;;;;;;;;
Tetracycline;No;Dissolves quickly, need extra rinse;10;1;20;Dissolves quickly, need extra rinse;10;1;20;;;;;;;;;;
Terazosin;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Tenofovir Disiproxil Fumarate;No;Does not dissolve well. Prodrug require acud dissolution;10;2;30;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Tenofovir Alafenamide;No;dissolves slowly but completely;10;2;10;dissolves slowly but completely;10;2;10;;;;;;;;;;
Sotalol;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Sodium Chloride;No;Difficult to crushm slow to dissolve;10;5;10;Difficult to crushm slow to dissolve;10;5;10;;;;;;;;;;
Sodium Bicarbonate;No;Slowly dissolve, high osmolality;10;2;20;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Simethicone;Liquid available;Use Liquid;-;-;-;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Senna/Docusate;Liquid available;Use Liquid;-;-;-;Use Liquid;-;-;-;;;;;;;;;;
Rifaximin;No;Poorly soluble, requires extra rinsing as ppt quickly;20;1;30;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Rifapentine;No;Poorly soluble, requires extra rinsing as ppt quickly;10;2;30;Poorly soluble, requires extra rinsing as ppt quickly;10;2;30;;;;;;;;;;
Rifampin;No;Does not Dissolve, Not for Feeding Tube;-;-;-;Does not Dissolve, Not for Feeding Tube;-;-;-;;;;;;;;;;
Rifabutin;No;Does not Dissolve, Not for Feeding Tube;-;-;-;Does not Dissolve, Not for Feeding Tube;-;-;-;;;;;;;;;;
Repaglinide;No;Poorly soluble, require extra rinse, need acid for dissolution;10;1;20;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Ramelteon;No;Slow Dissolve;10;4;20;Slow Dissolve ;10;4;20;;;;;;;;;;
Raltegravir;No;Does not Dissolve, Not for Feeding Tube;-;-;-;Does not Dissolve, Not for Feeding Tube;-;-;-;;;;;;;;;;
Quinine;No;Does not Dissolve, Not for Feeding Tube;-;-;-;Does not Dissolve, Not for Feeding Tube;-;-;-;;;;;;;;;;
Quinapril;No;Poorly soluble, requies extra rinsing, need acid for dissolution;10;1;30;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Vitamin B6;No;Poorly soluble, require extra rinsing;15;4;30;Poorly soluble, require extra rinsing;14;4;30;;;;;;;;;;
Pyridoxine;No;Poorly soluble, require extra rinsing;15;4;30;Poorly soluble, require extra rinsing;14;4;30;;;;;;;;;;
Pyrazinamide;No;Poorly soluble, require extra rinsing;10;5;30;Poorly soluble, require extra rinsing;10;5;30;;;;;;;;;;
Pseudoephrine;No;Dissolve quickly, despite coating;10;1;10;Dissolve quickly, despite coating;10;1;10;;;;;;;;;;
Prochlorperazine;No;Poorly soluble, require extra rinsing;10;1;20;Poorly soluble, require extra rinsing;10;1;20;;;;;;;;;;
Probenecid;No;Poorly soluble, require extra rinsing;10;1;20;Poorly soluble, require extra rinsing;10;1;20;;;;;;;;;;
Primidone;No;Tendency to foam and require extra rinse;10;2;20;Tendency to foam and require extra rinse;10;2;20;;;;;;;;;;
Primaquine;No;Quickly dissolve;10;2;10;Quickly dissolve;10;2;10;;;;;;;;;;
Prednisolone;Solution available;Use solution, its safe for feeding tube;-;-;-;Use solution, its safe for feeding tube;-;-;-;;;;;;;;;;
Potassium phosphate/ Sodium phospate;No;Use powder and dilute;-;-;-;Use powder and dilute;-;-;-;;;;;;;;;;
Pilocarpine;No;Poorly soluble, requires extra rinsing ;10;2;20;Poorly soluble, requires extra rinsing as ppt quickly;10;2;20;;;;;;;;;;
Phytonadione;No;Poorly soluble, requires extra rinsing as ;20;6;30;Poorly soluble, requires extra rinsing as ;20;6;30;;;;;;;;;;
Phenytoin;Suspension available;Use Suspension;-;-;-;Use Suspension;-;-;-;;;;;;;;;;
Phenazopyridine;No;Poorly soluble coated tablet. Requires extra rinsing. Stains.;10;5;30;Poorly soluble coated tablet. Requires extra rinsing. Stains.;10;5;30;;;;;;;;;;
Nystatin;Suspension available;For oral rinse NOT for Feedint Tube;-;-;-;For oral rinse NOT for Feedint Tube;-;-;-;;;;;;;;;;
Norethindrone;No;Dissolve quickly, produrg require gastric activation;10;1;10;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Niacinamide;No;Poorly soluble, requires extra rinsing;10;4;30;Poorly soluble, requires extra rinsing;10;4;30;;;;;;;;;;
Niacin;No;Slow dissolution, rinse well;10;2;20;Slow dissolution, rinse well;10;2;20;;;;;;;;;;
Neomycin Sulfate;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Nelfinavir;Solution available;Slow dissolution, rinse well. Need acid for dissolution;10;2;20;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Nefazodone;No;Slow dissolution, extra rinse needed;10;2;30;Slow dissolution, extra rinse needed;10;2;30;;;;;;;;;;
Naloxegol;No;Tablet has a film coating. It requires extra rinse;10;1;30;Tablet has a film coating. It requires extra rinse;10;1;30;;;;;;;;;;
Nadolol;No;Slow dissolution, rinse well. Need acid for dissolution;15;1;20;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Misoprostol;No;Manufacture recommend to compound and give immediately;10;1;20;Manufacture recommend to compound and give immediately;10;1;20;;;;;;;;;;
Midodrine;No;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10;;;;;;;;;;
Mexiletine;No;Dissolves quickly. Need extra rinse;10;1;20;Dissolves quickly. Need extra rinse;10;1;20;;;;;;;;;;
Metyrapone;No;Capsule cant not be opened. Not for Feeding Tube;-;-;-;Capsule cant not be opened. Not for Feeding Tube;-;-;-;;;;;;;;;;
Metolazone;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Metoclopramide;Solution available;Dilute solution 3x water Dissolve quickly;-;-;-;Dissolve quickly;-;-;-;;;;;;;;;;
Methylergonovine;No;Dissolve quickly;10;2;20;Dissolve quicky;10;2;20;;;;;;;;;;
Methimazole;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Methenamine;No;Osmolality 745 dilute with 30ml and rinse with 30ml water to prevent clog;30;2;30;Osmolality 745 dilute with 30ml and rinse with 30ml water to prevent clog;30;2;30;;;;;;;;;;
Megestrol;Suspension available;For low dose use tablet. For high dose use suspension. Dilute suspension;10;2;20;For low dose use tablet. For high dose use suspension. Dilute suspension;10;2;20;;;;;;;;;;
Magnesium Hydroxide;N/A;Clings to FT rinse with 30ml;-;-;30;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Linezolid;Suspension available;Tablet form clogs, use suspension;-;-;-;Tablet form clogs, use suspension;-;-;-;;;;;;;;;;
Leucovorin;No;Dissolves quickly, but require extra rinsing;10;1;20;Dissolves quickly, but require extra rinsing;10;1;20;;;;;;;;;;
Lamivudine/Zidovudine;No;Dissolves quickly, but require extra rinsing;10;1;30;Dissolves quickly, but require extra rinsing;10;1;30;;;;;;;;;;
Lamotrigine;No;Dissolve quickly, but requires extra rinsing, need acid to dissolves;10;1;20;Not for Jejunal Feeding tube;;;;;;;;;;;;;
Lamictal;No;Dissolve quickly, but requires extra rinsing, need acid to dissolves;10;1;20;Not for Jejunal Feeding tube;;;;;;;;;;;;;
Lactulose;Liquid available;Use Liquid;-;-;-;Use Liquid;-;-;-;;;;;;;;;;
Lactobacilus;Granule available;Granule dissolves quickly;20;10;30;Granule dissolves quickly;20;10;30;;;;;;;;;;
Ivermectin;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Isoniazid;No;Dissolves quickly;10;1;20;Dissolve quickly;10;1;20;;;;;;;;;;
Iron Polysaccharide;Liquid available;Use Liquid;Use liquid;-;-;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Haloperidol;Solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Granisetron;Solution available;Dissolved slowly but completely;10;4;10;Dissolved slowly but completely;10;4;10;;;;;;;;;;
Glycopyrrolate;No;Contains co-precipitate, poor dissolution, extra rinse;10;2;20;Contains co-precipitate, poor dissolution, extra rinse;10;2;20;;;;;;;;;;
Glyburide;No;Poorly soluble, requires extra rinsing;10;1;30;Poorly soluble, requires extra rinsing;10;1;30;;;;;;;;;;
Flutamide;No;Poorly soluble, require extra rinse;20;15;30;Poorly soluble, require extra rinse;20;15;30;;;;;;;;;;
Fludrocortisone Acetate;No;Slow dissolution, rinse well;10;5;30;Slow dissolution, rinse well;10;5;30;;;;;;;;;;
Famciclovir;No;dissolves slowly;10;5;10;dissolves slowly;10;5;10;;;;;;;;;;
Exemestane;No;Poorly soluble, requires extra rinsing, chemotherapy;10;2;20;Poorly soluble, requires extra rinsing, chemotherapy;10;2;20;;;;;;;;;;
Ethambutol;No;Dissolves easily, but higher dose require more water;15;1;20;Dissolves easily, but higher dose require more water;15;1;20;;;;;;;;;;
Eplerenon;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Dimenhydrinate;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Diltiazem;No;Easily clog, use extra water for rinse;10;2;30;Easily clog, use extra water for rinse;10;2;30;;;;;;;;;;
Digoxin;Solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Diclofenac;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Dexamethasone ;Solution available;Quickly dissolve;10;1;10;Quickly dissolve;10;1;10;;;;;;;;;;
Demeclocycline;Suspension available;Poor soluble, require extra rinse. Require gastric acid for dissolution;20;5;30;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Darunavir;Suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Dapsone;No;Poorly soluble, require extra rinsing;20;5;30;Poorly soluble, require extra rinsing;20;5;30;;;;;;;;;;
Colesevelam;Suspension available;Tablet does not dissolve. Not for FT;-;-;-;Tablet does not dissolve. Not for FT;-;-;-;;;;;;;;;;
Clozapine;No;Dissolves quickly , requires extra rinse;10;1;20;Dissolves quickly , requires extra rinse;10;1;20;;;;;;;;;;
Clotrimazole;No;Oral Lozenges. Not for Feeding tube;-;-;-;Oral Lozenges. Not for Feeding tube;-;-;-;;;;;;;;;;
Cilostazol;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Chlorpromazine;No;Slowly dissolves;10;2;10;Slowly dissolves;10;2;10;;;;;;;;;;
Cevimeline;No;Slowly Dissolves;10;1;10;Slowly Dissolves;10;1;10;;;;;;;;;;
Coreg;No;Contains co-precipitate, mix in syringe and extra rinse. Ppt out quickly See Discussion 2;10;1;20;Contains co-precipitate, mix in syringe and extra rinse. Ppt out quickly See Discussion 2;10;1;20;;;;;;;;;;
Carvedilol;No;Contains co-precipitate, mix in syringe and extra rinse. Ppt out quickly See Discussion 2;10;1;20;Contains co-precipitate, mix in syringe and extra rinse. Ppt out quickly See Discussion 2;10;1;20;;;;;;;;;;
Cefadroxil;No;Dissolves quickly. Leaves a residue. Use extra rinse;10;1;20;Dissolves quickly. Leaves a residue. Use extra rinse;10;1;20;;;;;;;;;;
Cefixime;Suspension available;Dissolves quickly. Leaves a residue. Use extra rinse;10;1;20;Dissolves quickly. Leaves a residue. Use extra rinse;10;1;20;;;;;;;;;;
Cefuroxime;Suspension available;Tablet does not dissolve, use suspension;-;-;-;Tablet does not dissolve, use suspension;-;-;-;;;;;;;;;;
Atovaquone;Suspension available;Use suspension. Caution: clogs with nutritions formula;-;-;-;Use suspension. Caution: clogs with nutritions formula;-;-;-;;;;;;;;;;
Bumetanide;No;Dissolves quickly;10;2;10;Dissolves quickly;10;2;10;;;;;;;;;;
Busulfan;No;Dissolves slowly, rinse well. Chemotherapy. Dissolve in syringe;10;15;10;Dissolves slowly, rinse well. Chemotherapy. Dissolve in syringe;10;15;10;;;;;;;;;;
Cabergoline;No;Slowly Dissolves. Requires dissolution in gastric acid fluid;10;3;10;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Calcitriol;Suspension available;Use liquid. dilute with 3x volume;-;-;-;Use liquid. dilute with 3x volume;-;-;-;;;;;;;;;;
Calcium Vitamin D;Oral solution available;Difficult to crush, require extra rinse;20;10;30;Difficult to crush, require extra rinse;20;10;30;;;;;;;;;;
