MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Austedo ;Tablet;Swallow AUSTEDO whole. Do not chew, crush, or break tablets;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208082s018,216354s008lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Auvelity;Extended Released Tablet;Swallow tablets whole, do not crush, divide, or chew;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215430s008lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Avelox;Tablet;must be swallowed whole and not ;HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=222e661d-e956-441a-a02b-b70e0f05c328;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Avodart ;Capsule;chewed, cut, or crushed;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021319s023s025lbl.pdf;No;Data not available;;;;Data not available;;;
Dutasteride;Capsule;"The capsules should be swallowed whole and not chewed or opened, as contact with the 
16 capsule contents may result in irritation of the oropharyngeal mucosa";HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021319s023s025lbl.pdf;No;Data not available;;;;Data not available;;;
Azulfidine EN-tabs;Delayed released tablet;Patients should be instructed to take AZULFIDINE EN-tabs in evenly divided doses, preferably after meals, and to swallow the tablets whole.;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b9ef5;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Sulfasalazine DR;Delayed released tablet;Patients should be instructed to take AZULFIDINE EN-tabs in evenly divided doses, preferably after meals, and to swallow the tablets whole.;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b9ef5;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Bafiertam ;Delayed released capsule;Swallow BAFIERTAM capsules whole and intact. Do not crush, chew, or mix contents with food;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210296s007lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Balcoltra ;Tablet;swallowed whole;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208612s005lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Balversa;Tablet;Swallow tablets whole;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212018s010lbl.pdf;No;Data not available;;;;Data not available;;;
Belbuca ;Buccal Film;BELBUCA buccal film is for oral buccal use only. Chew or swallow may result in lower bioavailability;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf;Suppository available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Buprenorphine;Buccal Film;BELBUCA buccal film is for oral buccal use only. Chew or swallow may result in lower bioavailability;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Belsomra ;Filmed Coated Tablet;Pharmacykinetic amorphous solid dispersion technology may be affected if tablet is altered;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204569s010lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Tessalon Perle;Capsule;TESSALON should be swallowed whole. TESSALON Capsules and Perles are not to be broken, chewed, dissolved, cut or crushed.;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/011210s053lbl.pdf;No;Data not available;;;;Data not available;;;
Benzonatate;Capsule;"Benzonatate should be swallowed whole. TESSALON Capsules and Perles are not to be broken, chewed, dissolved, cut or 
crushed. ";HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/011210s053lbl.pdf;No;Do not dissolve. Not for Tube feeding;-;-;-;Do not dissolve. Not for Tube feeding;-;-;-
Biaxin XL;Extended Released Tablet;BIAXIN ® XL should be swallowed whole and not chewed, broken, or crushed.;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/50662s036,50697s003,50698s019,50775s007ltr.pdf;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Clarithromycin ER;Extended Released Tablet;BIAXIN ® XL should be swallowed whole and not chewed, broken, or crushed.;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/50662s036,50697s003,50698s019,50775s007ltr.pdf;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Biltricide ;Tablet;must be swallowed whole and not ;HN;7/28/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=BasicSearch.process;No;Data not available;;;;Data not available;;;
Binosto ;effervescent tablet;chewed, cut, or crushed;HN;7/28/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202344s015lbl.pdf;Yes;Data not available;;;;Data not available;;;
Bisacodyl;Enteric Coated Tablet;Enteric coated but can be crushed;HN;07/28/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b4e052c0-d849-4327-a191-6d71d862886f;Suppository available;Drug is enteric coated - but can be crushed;10;1;10;Drug is enteric coated - but can be crushed;10;1;10
Ibandronate Sodium;Tablet;Swallow whole tablet;Hn;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf;Intravenous solution available;;;;;Data not available;;;
Boniva;Tablet;Swallow whole tablet;Hn;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf;No;Data not available;;;;Data not available;;;
Doxylamine and Pyridoxine;Extended Released Tablet;Swallow tablets whole. Do not crush, chew, or split BONJESTA tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209661s008lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Bonjesta(Doxylamine and Pyridoxine);Extended Released Tablet;Swallow tablets whole. Do not crush, chew, or split BONJESTA tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209661s008lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Bosulif ;Tablet;Swallow tablets whole. Do not cut, crush, break or chew tablet;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/203341s026lbl.pdf;No;Data not available;;;;Data not available;;;
Bosulif ;Capsule;Capsules may be swallowed whole. For patients who are unable to swallow a whole capsule(s), each capsule can be opened and the contents mixed with applesauce or yogurt;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217729s001lbl.pdf;No;Data not available;;;;Data not available;;;
Brincidofovir;Tablet;Swallow Brincidofovir tablets whole. Do not crush or divide Brincidofovir tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214460s000,214461s000lbl.pdf;Suspension available;Data not available;;;;Data not available;;;
Tembexa;Tablet;Swallow TEMBEXA tablets whole. Do not crush or divide TEMBEXA tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214460s001,214461s001lbl.pdf;Suspension available;Data not available;;;;Data not available;;;
Brenzavvy ;Tablet;must be swallowed whole and not ;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s001lbl.pdf;No;Data not available;;;;Data not available;;;
Brivaracetam;Tablet;chewed, cut, or crushed;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf;Oral and intravenous solution available;Data not available;;;;Data not available;;;
Briviact;Tablet;BRIVIACT tablets should be swallowed whole with liquid. BRIVIACT tablets should not be chewed or crushed;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf;Oral and intravenous solution available;Data not available;;;;Data not available;;;
Brukinsa;Capsule; Advise patients not to open, break, or chew capsules;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/213217s000lbl.pdf;No;Data not available;;;;Data not available;;;
Buprenorphine and Naloxone Sublingual);Sublingual Tablet;SUBOXONE sublingual tablets must be administered whole. Do not cut, chew, or swallow SUBOXONE sublingual tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020733s031s032lbl.pdf;No;Data not available;;;;Data not available;;;
Suboxone;Sublingual Tablet;SUBOXONE sublingual tablets must be administered whole. Do not cut, chew, or swallow SUBOXONE sublingual tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020733s031s032lbl.pdf;No;Data not available;;;;Data not available;;;
Buproban ;Extended Released Tablet;swallow Bupropion XL Tablets whole so that the release rate is not altered. Do not chew, divide, or crush tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21515_wellbutrin_lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Bupropion XL;Extended Released Tablet ;swallow Bupropion XL Tablets whole so that the release rate is not altered. Do not chew, divide, or crush tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21515_wellbutrin_lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Bylvay(Odevixibat);Capsule;Do not crush or chew capsules;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/215498s006lbl.pdf;No;Data not available;;;;Data not available;;;
Cabometylx ;Tablet;Swallow CABOMETYX tablets whole. Do not crush CABOMETYX tablets;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208692s016lbl.pdf;No;Data not available;;;;Data not available;;;
Verapamil;Extended Relased Tablet;Do not chew, crush tablet;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/019152Orig1s045lbl.pdf;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Calan SR ;Extended Relased Tablet;Do not chew, crush tablet;HN;07/28/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/019152Orig1s045lbl.pdf;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Calquence capsule;Capsule;Advise patients to swallow capsule whole with water. Advise patients not to open, break or chew the capsules;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210259s010lbl.pdf;No;Data not available;;;;Data not available;;;
Calquece Tablet;Tablet;Advise patients to swallow tablet whole with water. Advise patients not to chew, crush, dissolve, or cut the tablets;HN;07/29/25;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216387;No;Data not available;;;;Data not available;;;
Campral ;Delayed released tablet;Do not chew, crush tablet;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021431s015lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Acamprosate sodium ;Delayed Released Tablet;Do not chew, crush tablet;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021431s015lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Caprelsa (Vandetanib);Tablet;Do not crush CAPRELSA tablets. The tablets can be dispersed in 2 ounces of water by stirring for approximately 10 minutes (will not completely dissolve;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022405s023lbl.pdf;No;Data not available;;;;Data not available;;;
Carbaglu(Carglumic acid);Extended Relased Tablet;Disperse CARBAGLU tablets in water. Do not swallow whole or crush;HN;07/29/25;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022562;No;Data not available;;;;Data not available;;;
Carbamazepine ER;Extended released capsule;The Carbatrol capsules may be opened and the beads sprinkled over food, such as a teaspoon of applesauce or other similar food products if this method of administration is preferred. Carbatrol capsules or their contents should not be crushed or chewed;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020712s038lbl.pdf;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Carbatrol ;Extended released capsule;The Carbatrol capsules may be opened and the beads sprinkled over food, such as a teaspoon of applesauce or other similar food products if this method of administration is preferred. Carbatrol capsules or their contents should not be crushed or chewed;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020712s038lbl.pdf;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Diltiazem CD;Extended Released Capsule;Take as whole capsule;HN;07/29/25;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020062;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Cardizem CD ;Extended Released Capsule;Take as whole capsule;HN;07/29/25;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020062;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Diltiazem LA;Extended Released Tablet;Tablet should be swallowed whole and not chewed or crushed.;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021392025s028lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Cardizem LA ;Extended Released Tablet;Tablet should be swallowed whole and not chewed or crushed.;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021392025s028lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Diltiazem ER;Extended released Capsule;Tablets should be swallowed whole. Patients should not chew, divide, cut or crush tablets.;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021269lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;;-
Cardura XL ;Extended released Capsule;Tablets should be swallowed whole. Patients should not chew, divide, cut or crush tablets.;HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021269lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Bicalutamide;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020498s028lbl.pdf;No;Dissolves quickly, mix in syringe and extra rinse;10;1;10;Dissolves quickly, mix in syringe and extra rinse;10;1;10
Casodex ;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;07/29/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020498s028lbl.pdf;No;Dissolves quickly, mix in syringe and extra rinse;10;1;10;Dissolves quickly, mix in syringe and extra rinse;10;1;10
Cefaclor;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;09/13/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f61354e-bcb0-41aa-955f-51eabc11387b;Suspension available;Data not available;;;;Data not available;;;
Cefaclor ER;Extended Released Tablet;The extended-release tablets should not be cut, crushed, or chewed.;Hn;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0878bdc2-0410-4938-9890-96523aa81c2f;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ceftin ;Tablet;Taste. Use suspense for children;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/050605s052,050672s038lbl.pdf;Oral suspension available;Data not available;;;;Data not available;;;
Cefuroxime;Tablet;Taste. Use suspense for children;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/050605s052,050672s038lbl.pdf;Oral suspension available;Data not available;;;;Data not available;;;
Cellcept Capsule;Capsule;CELLCEPT capsule should not be opened;HN;7/29/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/50723s054lbl.pdf;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-
Cellcept  Tablet;Tablet;CELLCEPT tablets should not be crushed;HN;29-Jul;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/50723s054lbl.pdf;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-
Mycophenolate Mofetil;Tablet;Tablet should not be crushed;HN;29-Jul;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/065413s000lbl.pdf;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-
Mycophenolate Mofetil;Capsule;Capsule should not be opened;HN;29-Jul;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/065413s000lbl.pdf;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-
